titles,year,rating,duration (min),genre,description,directors,actors
15. Aladdin,1992,8.0,115,"['Animation', 'Adventure', 'Comedy']",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,['Ron Clements'],"['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman', 'Frank Welker', 'Gilbert Gottfried', 'Douglas Seale', 'Charlie Adler', 'Jack Angel', 'Corey Burton', 'Philip L. Clarke', 'Jim Cummings', 'Jennifer Darling', 'Debi Derryberry', 'Bruce Gooch', 'Jerry Houser', 'Vera Lockwood', 'Sherry Lynn']"
16. Miller's Crossing,1990,7.7,135,"['Crime', 'Drama', 'Thriller']","Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",['Joel Coen'],"['Gabriel Byrne', 'Albert Finney', 'John Turturro', 'Marcia Gay Harden', 'Jon Polito', 'J.E. Freeman', 'Mike Starr', 'Al Mancini', 'Richard Woods', 'Tom Toner', 'Steve Buscemi', 'Mario Todisco', 'Olek Krupa', 'Michael Jeter', 'Lanny Flaherty', 'Jeanette Kontomitras', 'Louis Charles Mounicou III', 'John McConnell']"
17. Jagd auf Roter Oktober,1990,7.5,112,"['Action', 'Adventure', 'Thriller']","In November 1984, the Soviet Union's best submarine captain violates orders and heads for the U.S. in a new undetectable sub. The American CIA and military must quickly determine: Is he trying to defect or to start a war?",['John McTiernan'],"['Sean Connery', 'Alec Baldwin', 'Scott Glenn', 'Sam Neill', 'James Earl Jones', 'Joss Ackland', 'Richard Jordan', 'Peter Firth', 'Tim Curry', 'Courtney B. Vance', 'Stellan Skarsgård', 'Jeffrey Jones', 'Timothy Carhart', 'Larry Ferguson', 'Fred Thompson', 'Daniel Davis', 'Ned Vaughn', 'Anthony Peck']"
18. Boyz n the Hood - Jungs im Viertel,1991,7.8,138,"['Crime', 'Drama']","Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",['John Singleton'],"['Cuba Gooding Jr.', 'Laurence Fishburne', 'Hudhail Al-Amir', 'Lloyd Avery II', 'Angela Bassett', 'Miya McGhee', 'Lexie Bigham', 'Kenneth A. Brown', 'Nicole Brown', 'Ceal', 'Morris Chestnut', 'Darneicea Corley', 'John Cothran', 'Ice Cube', ""Na'Blonka Durden"", 'Susan Falcon', 'Jessie Lawrence Ferguson', 'Tyra Ferrell']"
19. Eine Frage der Ehre,1992,7.7,105,"['Drama', 'Thriller']",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,['Rob Reiner'],"['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon', 'Kiefer Sutherland', 'Kevin Pollak', 'James Marshall', 'J.T. Walsh', 'Christopher Guest', 'J.A. Preston', 'Matt Craven', 'Wolfgang Bodison', 'Xander Berkeley', 'John M. Jackson', 'Noah Wyle', 'Cuba Gooding Jr.', 'Lawrence Lowe', 'Joshua Malina']"
20. Edward mit den Scherenhänden,1990,7.9,156,"['Drama', 'Fantasy', 'Romance']",The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,['Tim Burton'],"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest', 'Anthony Michael Hall', 'Kathy Baker', 'Robert Oliveri', 'Conchata Ferrell', 'Caroline Aaron', 'Dick Anthony Williams', 'O-Lan Jones', 'Vincent Price', 'Alan Arkin', 'Susan Blommaert', 'Linda Perri', 'John Davidson', 'Biff Yeager', 'Marti Greenberg', 'Bryan Larkin']"
21. Der Duft der Frauen,1992,8.0,107,['Drama'],"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",['Martin Brest'],"['Al Pacino', ""Chris O'Donnell"", 'James Rebhorn', 'Gabrielle Anwar', 'Philip Seymour Hoffman', 'Richard Venture', 'Bradley Whitford', 'Rochelle Oliver', 'Margaret Eginton', 'Tom Riis Farrell', 'Nicholas Sadler', 'Todd Louiso', 'Matt Smith', 'Gene Canfield', 'Frances Conroy', 'June Squibb', 'Ron Eldard', 'Sally Murphy']"
22. Misery,1990,7.8,121,"['Drama', 'Thriller']","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",['Rob Reiner'],"['James Caan', 'Kathy Bates', 'Richard Farnsworth', 'Frances Sternhagen', 'Lauren Bacall', 'Graham Jarvis', 'Jerry Potter', 'Thomas Brunelle', 'June Christopher', 'Julie Payne', 'Archie Hahn', 'Gregory Snegoff', 'Wendy Bowers', 'Misery the Pig', 'John Michael Quinn', 'Rob Reiner', 'J.T. Walsh', 'Jay Dee Witney']"
23. Zeit des Erwachens,1990,7.8,100,"['Biography', 'Drama']","The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",['Penny Marshall'],"['Robert De Niro', 'Robin Williams', 'Julie Kavner', 'Ruth Nelson', 'John Heard', 'Penelope Ann Miller', 'Alice Drummond', 'Judith Malina', 'Barton Heyman', 'George Martin', 'Anne Meara', 'Richard Libertini', 'Laura Esterman', 'Dexter Gordon', 'Jayne Haynes', 'Le Clanché du Rand', 'Yusef Bulos', 'Steven Randazzo']"
24. Glengarry Glen Ross,1992,7.7,189,"['Crime', 'Drama', 'Mystery']",An examination of the machinations behind the scenes at a real estate office.,['James Foley'],"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin', 'Alan Arkin', 'Ed Harris', 'Kevin Spacey', 'Jonathan Pryce', 'Bruce Altman', 'Jude Ciccolella', 'Paul Butler', 'Lori Tan Chinn', 'Neal Jones', 'Barry Rohrssen', 'Leigh French', 'George Cheung', 'Murphy Dunne', 'Dana Lee', 'Julie Payne']"
